author,title,degree,month_year,pdf,university
"Æmilie Cholewa-Madsen, Anders Lietzen Holst","Teaching the
Futhark compiler block and register tiled matrix multiplication",BSc,June 2020,https://futhark-lang.org/student-projects/niels-write-construct.pdf
Robert Schenck,Sum types in Futhark,MSc,December 2019,https://futhark-lang.org/student-projects/robert-msc-thesis.pdf
"Henrik Urms, Anna Sofie Kiehn",Refinement types in Futhark,MSc,September 2019,https://futhark-lang.org/student-projects/kiehn-urms-msc-thesis.pdf
Steffen Holst Larsen,Multi-GPU Futhark Using Parallel Streams,MSc,September 2019,https://futhark-lang.org/student-projects/steffen-msc-thesis.pdf
Svend Lund Breddam,"Futhark Autotuners for Incremental
Flattening",MSc,September 2019,https://futhark-lang.org/student-projects/svend-msc-thesis.pdf
Steffen Holst Larsen,Futhark Vulkan Backend,MSc,January 2019,https://futhark-lang.org/student-projects/steffen-msc-project.pdf
Jakob Stokholm Bertelsen,"Implementing a CUDA Backend for
Futhark",BSc,January 2019,https://futhark-lang.org/student-projects/jakob-bsc-thesis.pdf
Sune Hellfritzsch,Efficient Histogram Computation on GPGPUs,MSc,October 2018,https://futhark-lang.org/student-projects/hellfritzsch-msc-thesis.pdf
Duc Minh Tran,"Implementation of a deep learning library in
Futhark",BSc,August 2018,https://futhark-lang.org/student-projects/duc-bsc-thesis.pdf
Mikkel Storgaard Knudsen,FShark: Futhark programming in FSharp,MSc,August 2018,https://futhark-lang.org/student-projects/mikkel-msc-thesis.pdf
Marek Hlava and Martin Metaksov,"Accelerated Interest Rate Option
Pricing using Trinomial Trees",MSc,August 2018,https://futhark-lang.org/student-projects/marek-martin-msc-thesis.pdf
Kasper Abildtrup Hansen,"FFT Generator in Futhark: A prototype
Futhark library using FFTW technniques",MSc,June 2018,https://futhark-lang.org/student-projects/kasper-hansen-genfft.pdf
Frederik Thorøe,Auto-tuning of threshold-parameters in Futhark,BSc,June 2018,https://futhark-lang.org/student-projects/frederik-thoroe-bsc-thesis.pdf
Mette Marie Kowalski,"Designing and Accelerating a Generic FFT
Library in Futhark",BSc,June 2018,https://futhark-lang.org/student-projects/mette-kowalski-bsc-thesis.pdf
Anders Kiel Hovgaard,"Higher-order functions for a
high-performance programming language for GPUs",MSc,May 2018,https://futhark-lang.org/student-projects/hovgaard-msc-thesis.pdf
Niels G. W. Serup,Memory Block Merging in Futhark,MSc,November 2017,https://futhark-lang.org/student-projects/niels-msc-thesis.pdf
Rasmus Wriedt Larsen,"Generating Efficient Code for Futhark’s
Segmented Redomap",MSc,March 2017,https://futhark-lang.org/student-projects/rasmus-msc-thesis.pdf
Niels G. W. Serup,Extending Futhark with a write construct,MSc,June 2016,https://futhark-lang.org/student-projects/niels-write-construct.pdf
